# This data file is derived from:
# Peter M. Blau, Otis Dudley Duncan, David L. Featherman, and Robert M. Hauser. 
# OCCUPATIONAL CHANGES IN A GENERATION 1962 AND 1973 [Computer File].
# Madison, WI: University of Wisconsin [producer], 1983.
# Ann Arbor, MI: Inter-university Consortium for Political and Social Research
#  [distributor], 1994.

# the first value in each row is the case number, 1 to 20,700
# missing values are encoded as NA
# scaled.weight = 0.62*weight/mean(weight) where 0.62 is the design effect
#   for the survey

# for the definitions of the other variables, see the on-line supplemental
# Chapter 26 to Fox, Applied Regression Analysis and Generalized Linear Models,
# Third Edition.

education.father ses.father education ses.first ses age race weight scaled.weight
244 7 52 6 NA NA 20 white 1.87796 0.535789423664581
245 2 17 3 23 23 64 white 1.48557 0.423839003021039
246 0 14 2 22 11 53 white 1.91727 0.547004722310055
247 3 11 4 44 44 23 white 2.03227 0.579814677645327
248 0 2 2 6 34 53 white 7.28103 2.07730668778064
249 1 8 5 49 52 35 white 1.55472 0.443567771816118
250 4 59 3 6 7 34 white 1.57581 0.449584832320647
251 2 15 4 39 27 44 white 1.713 0.488725682515829
252 1 NA 4 15 24 36 white 1.55472 0.443567771816118
253 1 2 2 17 22 50 white 1.62916 0.464805798556619
254 0 22 7 39 33 52 white 1.61344 0.460320820314267
255 NA 17 7 39 50 22 white 2.03227 0.579814677645327
256 0 65 6 17 39 45 white 1.8066 0.515430133119146
257 NA 52 3 NA 23 34 white 1.57749 0.450064142972502
258 NA 23 8 44 68 47 white 1.86712 0.532696728744282
259 0 65 4 NA NA 64 white 1.71103 0.488163633715738
260 3 NA 6 44 68 33 white 2.02655 0.578182738997346
261 5 53 5 67 87 40 white 1.7946 0.5120064856059
262 2 14 2 44 16 61 white 1.59596 0.455333707103306
263 NA 14 3 17 26 48 white 1.73417 0.494765567337114
264 5 14 2 12 13 47 white 1.61344 0.460320820314267
265 3 25 2 28 26 50 white 1.8066 0.515430133119146
266 0 23 2 10 NA 62 white 1.71103 0.488163633715738
267 NA 17 4 16 22 23 white 1.74991 0.499256251658654
268 3 56 8 27 92 57 white 1.68718 0.481359134283162
269 0 49 4 28 39 60 white 1.68718 0.481359134283162
270 5 72 7 72 39 39 white 1.77702 0.506990841998995
271 5 NA 5 16 33 59 white 1.66593 0.475296425145123
272 5 33 4 39 10 25 white 2.04471 0.583363858900725
273 6 44 5 44 79 39 white 1.7946 0.5120064856059
274 5 27 5 28 61 54 white 1.72228 0.491373303259406
275 5 67 6 32 44 27 white 1.81401 0.517544235458575
276 4 16 6 44 16 46 white 1.73417 0.494765567337114
277 6 39 5 52 44 36 white 1.55472 0.443567771816118
278 5 NA 5 44 44 60 white 1.58055 0.45093717308838
279 0 11 3 28 22 57 white 1.58055 0.45093717308838
280 5 62 3 7 NA 48 white 2.34273 0.668390144892183
281 5 44 6 62 84 30 white 1.57581 0.449584832320647
282 5 19 4 64 53 48 white 7.24324 2.06652505115351
283 4 64 4 64 50 24 white 8.58068 2.44810197866312
284 5 19 3 2 27 51 white 1.71551 0.489441795454017
285 1 16 3 16 53 45 white 1.82917 0.521869443483642
286 NA 22 3 22 16 48 white 1.73417 0.494765567337114
287 1 18 6 28 84 43 white 1.713 0.488725682515829
288 5 17 4 16 78 50 white 1.61344 0.460320820314267
289 6 78 6 50 44 20 white 2.03227 0.579814677645327
290 NA 59 4 68 65 59 white 1.59596 0.455333707103306
291 2 59 7 15 52 36 negro 1.57423 0.449134052064737
292 2 58 3 7 26 58 white 1.67998 0.479304945775215
293 6 49 6 4 4 31 negro 1.90093 0.542342855612852
294 3 19 5 11 31 50 white 1.90085 0.542320031296097
295 3 12 4 22 44 58 white 1.65882 0.473267913993525
296 0 23 5 8 8 43 white 1.55602 0.443938666963386
297 NA 51 3 48 19 42 white 1.47359 0.420421061586983
298 2 4 3 22 10 41 white 1.63014 0.465085396436867
